nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto cm,ancho cm,largo cm,peso g,pero kg,precio,precio oferta,link imagen,clase envio
Antena WIFI,TP-Link AC750,RED,Tp-Link,3,RE-355778-2,20,20,10,400,"0,4",$ 650.00,$ 600.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/r/e/re-355778-2_2.jpg,
Antena Wifi,TL-wN823N,RED,Tp-Link,5,RE-29270118-6,20,10,20,200,"0,2",$ 250.00,$ 220.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/a/d/adaptador-usb_tp-link_tl-wn823n.jpg,
Aire comprimido,Removedor polvo 350ml,Mantenimiento,Perfect Choice,7,,20,10,10,350,"0,35",$ 85.00,$ 80.00,https://me2.grupocva.com/me/imagen/imagen_art_detalles.php?fProd=10161229,
Alcohol Isopropilico,Alcohol 250ml,Mantenimiento,Perfect Choice,12,,20,8,8,250,"0,25",$ 65.00,$ 60.00,https://me2.grupocva.com/me/imagen/imagen_art_detalles.php?fProd=10206531,
Pasta Termica,Pasta Termica HTK002,Mantenimiento,Cooler Master,13,,20,10,3,50,"0,05",$ 175.00,$ 150.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/A/C/AC-406359-2.jpg,
Disco Externo 1TB,Disco Duro Externo HV300 1TB,Almacenamiento,ADATA,3,DD-383710-19,20,20,10,400,"0,4",$ 999.00,$ 950.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-383712-13_3_.jpg,
Disco Externo 2TB,Disco Duro Externo HV620S 2TB,Almacenamiento,ADATA,1,DD-383712-13,20,20,10,400,"0,4","$ 1,499.00","$ 1,450.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/d/d/dd-383712-13_3_.jpg,
Audifonos Getttech,Audifonos GH3500R,Audio,GETTTECH,1,AU-377172-9,35,30,10,400,"0,4",$ 170.00,$ 150.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/a/u/au-377172-9.jpg,
Audifonos Inalambricos LOUD,Audifonos Getttech GH4640N inalambricos,Audio,GETTTECH,2,AU-377174-1,20,16,8,250,"0,25",$ 200.00,$ 180.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/A/U/AU-377174-1.jpg,
Mousepad Corsair MM100,mousepad,Accesorios,CORSAIR,1,AC-576011-5,10,10,30,200,"0,2",$ 250.00,$ 200.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/thumbnail/70x70/9df78eab33525d08d6e5fb8d27136e95/a/c/ac-576011-5.jpg,
