nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto,ancho,largo,peso,precio,precio oferta,link imagen
Antena WIFI,TP-Link AC750,RED,Tp-Link,3,,,,,,$ 650.00,$ 600.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/G/A/GA-383573-4.jpg
Antena Wifi,TL-wN823N,RED,Tp-Link,5,,,,,,$ 250.00,$ 220.00,
Aire comprimido,Removedor polvo 350ml,Mantenimiento,Perfect Choice,7,,,,,,$ 85.00,$ 80.00,
Alcohol Isopropilico,Alcohol 250ml,Mantenimiento,Perfect Choice,12,,,,,,$ 65.00,$ 60.00,
Pasta Termica,Pasta Termica HTK002,Mantenimiento,Cooler Master,13,,,,,,$ 175.00,$ 150.00,
Disco Externo 1TB,Disco Duro Externo HV300 1TB,Almacenamiento,ADATA,3,,,,,,$ 999.00,$ 950.00,
Disco Externo 2TB,Disco Duro Externo HV620S 2TB,Almacenamiento,ADATA,1,,,,,,"$ 1,499.00","$ 1,450.00",
Audifonos Getttech,Audifonos GH3500R,Audio,GETTTECH,1,,,,,,$ 170.00,$ 150.00,
Audifonos Inalambricos LOUD,Audifonos Getttech GH4640N inalambricos,Audio,GETTTECH,2,,,,,,$ 200.00,$ 180.00,
Mousepad Corsair MM100,mousepad,Accesorios,CORSAIR,1,,,,,,$ 250.00,$ 200.00,
Mousepad Vorago MPG200,mousepad,Accesorios,Vorago,8,,,,,,$ 150.00,$ 120.00,
KIT Ventiladores RGB,KIT Ventiladores OCELOT RGB,Ventiladores,OCELOT,1,,,,,,"$ 1,100.00",$ 990.00,
Disipador G100M,Disipador Master Air G100M,Ventiladores,Cooler Master,1,,,,,,"$ 1,090.00","$ 1,050.00",
Disipador G200P,Disipador Master Air G200P,Ventiladores,Cooler Master,1,,,,,,"$ 1,090.00",$ 990.00,
Headphones 200,audifonos bluetooth Vorago,Audio,Vorago,1,,,,,,$ 300.00,$ 270.00,
Headphones 201,audifonos bluetooth Vorago,Audio,Vorago,1,,,,,,$ 250.00,$ 230.00,
Metalic Earbuds,Audifonos metalicos azules,Audio,Mobifree,3,,,,,,$ 170.00,$ 150.00,
Headphones Colores,Audifonos vorago,Audio,vorago,1,,,,,,$ 130.00,$ 110.00,
Headset AM370,audifonos Acteck para PC,Audio,ACTECK,9,,,,,,$ 90.00,$ 80.00,
Camara WEB 19,Camara WEB ELE - GATE Digital Pc camara,Camara,ELE-GATE,1,,,,,,$ 300.00,$ 250.00,
Camara WEB 45,Camara WEB ELE - GATE 1080 FHD,Camara,ELE-GATE,1,,,,,,$ 450.00,$ 350.00,
Micro SD 32GB,Kingston Micro SD 32GB 100Mb/s,Almacenamiento,Kingston,36,,,,,,$ 140.00,$ 120.00,
Micro SD 64GB,ADATA 64GB 80MB/s,Almacenamiento,ADATA,3,,,,,,$ 240.00,$ 200.00,
Micro SD 64GB,BLACKPCS 64GB 80MB/s,Almacenamiento,BLACKPCS,4,,,,,,$ 240.00,$ 180.00,
Micro SD 64GB,Kingston Micro SD 64GB 100Mb/s,Almacenamiento,Kingston,1,,,,,,$ 260.00,$ 240.00,
Micro SD 128GB,Kingston Micro SD 128GB 100Mb/s,Almacenamiento,Kingston,2,,,,,,$ 450.00,$ 350.00,
USB 16GB,BLACKPCS 16GB USB,Almacenamiento,BLACKPCS,9,,,,,,$ 85.00,$ 70.00,
USB 16GB,ADATA 16GB USB,Almacenamiento,ADATA,6,,,,,,$ 90.00,$ 75.00,
USB 32GB,Kingston USB 32GB,Almacenamiento,Kingston,8,,,,,,$ 150.00,$ 120.00,
USB 64GB,Kingston USB 64GB,Almacenamiento,Kingston,6,,,,,,$ 260.00,$ 240.00,
Bocinas GETTTECH USB,Bocinas para PC Getttech,Audio,GETTTECH,2,,,,,,$ 180.00,$ 140.00,
Kit Mouse/Teclado,Truebasix TB924849,KIT,Truebasix,1,,,,,,$ 200.00,$ 180.00,
ASUS U2000,KIT Teclado/mouse alambrico ASUS,KIT,ASUS,1,,,,,,$ 420.00,$ 370.00,
KIT Vorago 104,KIT mouse/teclado Vorago Alambrico,KIT,Vorago,4,,,,,,$ 250.00,$ 220.00,
KIT mouse/teclado Inalambrico GHIA,kit Inalambrico Ghia GT5000,KIT,GHIA,1,,,,,,$ 350.00,$ 300.00,
Logitech MK120,Kit mouse Teclado,KIT,Logitech,3,,,,,,$ 300.00,$ 260.00,
Teclado Inalambrico Acteck,AC-913973,Teclado,ACTECK,3,,,,,,$ 270.00,$ 235.00,
Logitech Alambrico K120,Teclado Alambrico,Teclado,Logitech,2,,,,,,$ 180.00,$ 160.00,
Ocelot OGM-K01,Teclado mecanico SWITCH AZUL OCELOT,Teclado,OCELOT,1,,,,,,$ 900.00,$ 750.00,
