sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
723844000035-T,1.4,Array,6810,8983,7.8,HDTB420XK3AA,1.49,0,52.21,723844000035,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTB420XK3AA USB 3.0 BASICS NEGRO",7118,1.49,10.9,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000035-T.jpg,1454,104
723844000028-T,1.4,Array,6810,8983,7.8,HDTB410XK3AA,0.15,,39.11,723844000028,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO USB 3.0 TOSHIBA 1TB HDTB410XK3AA BASICS  NEGRO     ",10477,0.15,10.9,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000028-T.jpg,1089,256
723844000684-T,7.8,Array,6810,8983,14,HDTCA20XK3AA,0.15,,57.05,723844000684,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTCA20XK3AA ADVANCE V10 NEGRO",7118,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000684-T.jpg,1588,90
4547808810739-T,7,Array,6810,11458,6.98,HDWL110UZSVA,0.12,,36.74,4547808810739,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO INTERNO TOSHIBA 1TB L200 2.5 HDWL110UZSVA 64MB 5400RPM",10477,0.12,10,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/4547808810739-T.jpg,1023,246
723844000776-T,7.8,Array,6810,8983,14,HDTCA20XW3AA,0.15,,57.06,723844000776,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTCA20XW3AA ADVANCE V10 BLANCO",7118,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000776-T.jpg,1589,33
723844000844-T,8,Array,6810,8983,19.5,HDTX140XK3CA,0.21,,95.73,723844000844,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTX140XK3CA USB 3.0 CANVIO GAMING NEG",10478,0.21,11.1,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000844-T.jpg,2665,65
723844000677-T,7.8,Array,6810,8983,14,HDTCA10XK3AA,0.15,,41.16,723844000677,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 1TB HDTCA10XK3AA ADVANCE V10 NEGRO",10477,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000677-T.jpg,1146,2
723844000691-T,7.8,Array,6810,8983,19,HDTCA40XK3CA,0.22,,83.42,723844000691,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTCA40XK3CA ADVANCE V10 NEGRO",10478,0.22,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000691-T.jpg,2322,99
723844000745-T,7.8,Array,6810,8983,14,HDTCA20XR3AA,0.15,,57.05,723844000745,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTCA20XR3AA ADVANCE V10 ROJO",7118,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000745-T.jpg,1588,84
723844000783-T,7.8,Array,6810,8983,19,HDTCA40XW3CA,0.15,,84.82,723844000783,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTCA40XW3CA ADVANCE V10 BLANCO",10478,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000783-T.jpg,2361,21
723844000752-T,7.8,Array,6810,8983,19,HDTCA40XR3CA,0.22,,84.82,723844000752,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTCA40XR3CA ADVANCE V10 ROJO",10478,0.22,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000752-T.jpg,2361,44
723844000769-T,7.8,Array,6810,8983,14,HDTCA10XW3AA,0.15,,41.16,723844000769,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 1TB HDTCA10XW3AA ADVANCE V10 BLANCO",10477,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.local/pch-importer/images/723844000769-T.jpg,1146,118
618996725021-T,2.61,Array,6810,11458,10.18,HDWD110UZSVA,0.45,,34.01,618996725021,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO INTERNO TOSHIBA 1TB HDWD110UZSVA 3.5""P300  64MB 7200RPM    ",10477,0.45,14.7,"DISCOS INTERNOS",https://drakelfo.local/pch-importer/images/618996725021-T.jpg,947,364
0814914022917-P,4.2,Array,6850,10624,12.9,PV530OULK,0.13,,14.34,814914022917,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"MOUSE GAMER PATRIOT VIPER V530 RGB OPTICAL 4000DPI (PV530OULK)",10479,0.13,7.1,MOUSE,https://drakelfo.local/pch-importer/images/0814914022917-P.jpg,399,1
0814914025192-P,4.2,Array,6850,10624,12.5,PV551OUXK,0.15,,25.96,814914025192,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"MOUSE GAMER PATRIOT VIPER V551 RGB OPTICAL 12000DPI NEGRO (PV551OUXK)",10479,0.15,7,MOUSE,https://drakelfo.local/pch-importer/images/0814914025192-P.jpg,723,6
0814914023891-P,4.4,Array,6850,10624,8,PV570LUXWAK,0.16,,31.83,814914023891,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"MOUSE GAMER PATRIOT VIPER V570 RGB LASER 12000DPI NEGRO (PV570LUXWAK)",10479,0.16,13.3,MOUSE,https://drakelfo.local/pch-importer/images/0814914023891-P.jpg,886,3
0814914026137-P,4.54,Array,6810,10517,0.71,PVB416G300C6K,1.04,,77.62,814914026137,PATRIOT,16GB,COMPONENTES,USD,7003,"MEM DDR4 PATRIOT VIPER BLACKOUT 16GB(2x8GB)3000MHZ UDIMM PVB416G300C6K",10480,1.04,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914026137-P.jpg,2161,39
0814914026243-P,4.44,Array,6810,10517,0.7,PVB416G400C9K,0.96,,110.99,814914026243,PATRIOT,16GB,COMPONENTES,USD,7003,"MEM DDR4 PATRIOT VIPER BLACKOUT 16GB(2x8GB)4000MHZ UDIMM PVB416G400C9K",10480,0.96,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914026243-P.jpg,3090,9
0814914027257-P,4.54,Array,6810,10517,0.82,PVR416G400C9K,0.1,,114.97,814914027257,PATRIOT,16GB,COMPONENTES,USD,7003,"MEMORIA DDR4 PATRIOT VIPER RGB 16GB(2X8GB)4000MHZ UDIMM PVR416G400C9K",10480,0.1,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914027257-P.jpg,3201,1
0814914025477-P,4.54,Array,6810,10517,4.54,PVR416G413C9K,0.1,,133.27,814914025477,PATRIOT,16GB,COMPONENTES,USD,7003,"MEMORIA DDR4 PATRIOT VIPER RGB 16GB(2X8GB)4133MHZ UDIMM PVR416G413C9K",10480,0.1,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914025477-P.jpg,3710,11
0814914025093-P,4.44,Array,6810,10517,0.7,PVS416G413C9K,0.96,,112.64,814914025093,PATRIOT,16GB,COMPONENTES,USD,7003,"MEM DDR4 PATRIOT VIPER STEEL 16GB (2X8GB) 4133MHZ UDIMM PVS416G413C9K",10480,0.96,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914025093-P.jpg,3136,14
0814914024935-P,4.44,Array,6810,10517,0.7,PVS416G440C9K,0.96,,121.22,814914024935,PATRIOT,16GB,COMPONENTES,USD,7003,"MEM DDR4 PATRIOT VIPER STEEL 16GB (2X8GB) 4400MHZ UDIMM PVS416G440C9K",10480,0.96,13.57,"RAM PARA DESKTOP",https://drakelfo.local/pch-importer/images/0814914024935-P.jpg,3375,2
0814914025901-P,3,Array,6810,11510,0.38,PVS48G240C5S,0.95,,29.73,814914025901,PATRIOT,8GB,COMPONENTES,USD,7003,"MEMORIA DDR4 PATRIOT VIPER STEEL 8GB 2400MHZ SODIMM (PVS48G240C5S)",10482,0.95,6.9,"RAM PARA LAPTOP",https://drakelfo.local/pch-importer/images/0814914025901-P.jpg,828,1
0814914025925-P,3,Array,6810,11510,6.9,PVS48G266C8S,0.95,,29.73,814914025925,PATRIOT,8GB,COMPONENTES,USD,7003,"MEMORIA DDR4 PATRIOT VIPER STEEL 8GB 2666MHZ SODIMM (PVS48G266C8S)",10482,0.95,0.3,"RAM PARA LAPTOP",https://drakelfo.local/pch-importer/images/0814914025925-P.jpg,828,7
0814914024096-P,3,Array,6850,11521,32,PV150C2K,0.27,,12.51,814914024096,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"MOUSE PAD GAMER PATRIOT VIPER LARGE (PV150C2K) ",10479,0.27,45,TAPETES,https://drakelfo.local/pch-importer/images/0814914024096-P.jpg,348,1
0814914023709-P,2.8,Array,6850,11521,37.6,PV160UXK,0.59,,23.37,814914023709,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"MOUSE PAD GAMER PATRIOT VIPER RGB (PV160UXK)",10479,0.59,25.2,TAPETES,https://drakelfo.local/pch-importer/images/0814914023709-P.jpg,651,11
0814914025048-P,7.7,Array,6850,11528,46.6,PV765MBWUXMGM,1.13,,65.17,814914025048,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"TECLADO GAMER PATRIOT VIPER V765 LED RGB MECANICO (PV765MBWUXMGM)",10479,1.13,20.3,TECLADOS,https://drakelfo.local/pch-importer/images/0814914025048-P.jpg,1814,4
0814914022900-P,22.9,Array,6850,11528,3.8,PV770MRUMXGM,1.4,,89.7,814914022900,PATRIOT,GAMER,"TECLADOS & MOUSES",USD,7003,"TECLADO GAMER PATRIOT VIPER V770 LED RGB MECANICO (PV770MRUMXGM)",10479,1.4,49.5,TECLADOS,https://drakelfo.local/pch-importer/images/0814914022900-P.jpg,2497,26
740617220605-K,5.1,Array,6810,11465,16.5,SNA-B,0.47,,12.59,740617220605,KINGSTON,KIT,COMPONENTES,USD,7004,"KIT DE INSTALACION SSD KINGSTON SNA-B, SATA, 2.5(SNA-B)             ",10494,0.47,5.1,ENCLOSURES,https://drakelfo.local/pch-importer/images/740617220605-K.jpg,351,85
740617219692-K,15.2,Array,6810,11533,5.7,SNA-DC2/35,0.13,,12.97,740617219692,KINGSTON,CONVERTIDOR,COMPONENTES,USD,7004,"CONVERTIDOR SSD 2.5"" A 3.5"" (SNA-DC2/35)           ",10495,0.13,20.3,"UNIDADES SSD",https://drakelfo.local/pch-importer/images/740617219692-K.jpg,361,12
740617274127-K,10.01,Array,6810,11534,0.7,SUV500M8/240G,0.04,,34.03,740617274127,KINGSTON,240GB,COMPONENTES,USD,7004,"UNIDAD SSD KINGSTON 240GB SUV500M8 M.2(SUV500M8/240G)                 ",10485,0.04,6.99,"UNIDADES SSD M.2",https://drakelfo.local/pch-importer/images/740617274127-K.jpg,947,1
740617299595-K,10.01,Array,6810,11533,0.7,SA400S37/1920G,0.04,,185.52,740617299595,KINGSTON,2TB,COMPONENTES,USD,7004,"UNIDAD SSD KINGSTON 1920GB SATA 3 2.5"" SA400S37/1920G 500/450 MB/S R/W ",7118,0.04,6.99,"UNIDADES SSD",https://drakelfo.local/pch-importer/images/740617299595-K.jpg,5165,13
740617300116-K,10.01,Array,6810,11533,0.7,SKC600/1024G,0.13,,117.52,740617300116,KINGSTON,1TB,COMPONENTES,USD,7004,"UNIDAD SSD KINGSTON SKC600 1TB SATA 3 2.5"" (SKC600/1024G)             ",10477,0.13,6.99,"UNIDADES SSD",https://drakelfo.local/pch-importer/images/740617300116-K.jpg,3272,4
740617300161-K,10.01,Array,6810,11533,0.7,SKC600/256G,0.13,,38.36,740617300161,KINGSTON,256GB,COMPONENTES,USD,7004,"UNIDAD SSD KINGSTON SKC600 256GB SATA 3 2.5"" (SKC600/256G)            ",10496,0.13,6.99,"UNIDADES SSD",https://drakelfo.local/pch-importer/images/740617300161-K.jpg,1068,25
740617303506-K,0.8,Array,6810,11534,0.13,SA400M8/480G,0.67,,46.83,740617303506,KINGSTON,480GB,COMPONENTES,USD,7004,"UNIDAD SSD KINGSTON SSDNOW A400 480GB M.2 2280 (SA400M8/480G)         ",10486,0.67,0.22,"UNIDADES SSD M.2",https://drakelfo.local/pch-importer/images/740617303506-K.jpg,1304,1
