sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
723844000035-T,1.4,Array,6810,8983,7.8,HDTB420XK3AA,1.49,0,51.41,723844000035,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTB420XK3AA USB 3.0 BASICS NEGRO",7118,1.49,10.9,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000035-T.jpg,1431,771
723844000028-T,1.4,Array,6810,8983,7.8,HDTB410XK3AA,0.15,,38.04,723844000028,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO USB 3.0 TOSHIBA 1TB HDTB410XK3AA BASICS  NEGRO     ",10477,0.15,10.9,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000028-T.jpg,1059,784
4547808810739-T,7,Array,6810,11458,6.98,HDWL110UZSVA,0.12,,35.75,4547808810739,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO INTERNO TOSHIBA 1TB L200 2.5 HDWL110UZSVA 64MB 5400RPM",10477,0.12,10,"DISCOS INTERNOS",https://drakelfo.mx/pch-importer/images/4547808810739-T.jpg,995,95
723844000776-T,7.8,Array,6810,8983,14,HDTCA20XW3AA,0.15,,56.13,723844000776,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTCA20XW3AA ADVANCE V10 BLANCO",7118,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000776-T.jpg,1563,52
723844000462-T,1.95,Array,6810,8983,7.8,HDTB440XK3CA,1.64,,78.54,723844000462,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTB440XK3CA USB 3.0 BASICS  NEGRO     ",10478,1.64,10.9,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000462-T.jpg,2187,564
723844000844-T,8,Array,6810,8983,19.5,HDTX140XK3CA,0.21,,94.15,723844000844,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTX140XK3CA USB 3.0 CANVIO GAMING NEG",10478,0.21,11.1,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000844-T.jpg,2621,90
723844000677-T,7.8,Array,6810,8983,14,HDTCA10XK3AA,0.15,,40.48,723844000677,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 1TB HDTCA10XK3AA ADVANCE V10 NEGRO",10477,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000677-T.jpg,1127,57
723844000745-T,7.8,Array,6810,8983,14,HDTCA20XR3AA,0.15,,56.11,723844000745,TOSHIBA,2TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 2TB HDTCA20XR3AA ADVANCE V10 ROJO",7118,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000745-T.jpg,1562,131
723844000783-T,7.8,Array,6810,8983,19,HDTCA40XW3CA,0.15,,83.42,723844000783,TOSHIBA,4TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 4TB HDTCA40XW3CA ADVANCE V10 BLANCO",10478,0.15,7.8,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000783-T.jpg,2322,78
723844000790-T,8,Array,6810,8983,13.5,HDTX110XSCAA,0.15,,49.27,723844000790,TOSHIBA,1TB,COMPONENTES,USD,6887,"DISCO DURO EXTERNO TOSHIBA 1TB HDTX110XSCAA USB 3.0 CANVIO FLEX PLATA",10477,0.15,11.1,"DISCOS EXTERNOS",https://drakelfo.mx/pch-importer/images/723844000790-T.jpg,1372,5
